Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Sector
CVX,2019-01-02,78.93,82.12,78.75,81.39,81.39,6384800,Energy
CVX,2019-01-03,81.66,81.83,79.47,79.83,79.83,6496200,Energy
CVX,2019-01-04,81.09,81.61,80.5,81.49,81.49,7952500,Energy
CVX,2019-01-07,81.66,83.04,80.83,82.55,82.55,5712700,Energy
CVX,2019-01-08,83.39,83.67,82.11,82.19,82.19,5674900,Energy
CVX,2019-01-09,82.86,83.83,82.69,83.29,83.29,7097000,Energy
CVX,2019-01-10,82.73,83.55,82.14,83.42,83.42,6078300,Energy
CVX,2019-01-11,83.09,83.13,82.11,82.75,82.75,4491700,Energy
CVX,2019-01-14,81.87,82.61,81.68,82.15,82.15,6121700,Energy
CVX,2019-01-15,82.34,83.14,82.0,82.44,82.44,4226100,Energy
CVX,2019-01-16,81.94,82.59,81.78,81.91,81.91,5624100,Energy
CVX,2019-01-17,81.44,82.57,81.01,82.33,82.33,4442700,Energy
CVX,2019-01-18,83.82,84.3,83.14,84.1,84.1,9382000,Energy
CVX,2019-01-22,83.18,83.42,82.32,82.61,82.61,7242000,Energy
CVX,2019-01-23,82.64,82.85,81.19,81.91,81.91,6082300,Energy
CVX,2019-01-24,81.64,83.69,81.55,83.47,83.47,8470700,Energy
CVX,2019-01-25,83.87,84.4,83.08,83.25,83.25,6261800,Energy
CVX,2019-01-28,82.29,82.78,81.67,82.48,82.48,6886600,Energy
CVX,2019-01-29,83.11,83.35,82.19,82.23,82.23,5359900,Energy
CVX,2019-01-30,82.75,83.57,82.34,83.1,83.1,7941700,Energy
CVX,2019-01-31,83.68,84.86,83.37,84.3,84.3,11225600,Energy
CVX,2019-02-01,85.78,87.69,85.74,87.04,87.04,10934300,Energy
CVX,2019-02-04,86.4,88.05,85.53,88.05,88.05,7987900,Energy
CVX,2019-02-05,87.96,88.14,87.28,87.86,87.86,6887400,Energy
CVX,2019-02-06,87.5,87.94,87.28,87.42,87.42,4990400,Energy
CVX,2019-02-07,86.78,87.14,85.67,86.94,86.94,7281900,Energy
CVX,2019-02-08,86.58,86.69,85.24,86.46,86.46,5671000,Energy
CVX,2019-02-11,85.98,86.3,85.58,86.0,86.0,4859600,Energy
CVX,2019-02-12,87.01,87.41,86.48,87.3,87.3,5400700,Energy
CVX,2019-02-13,87.62,88.53,87.28,87.92,87.92,5935900,Energy
CVX,2019-02-14,87.91,88.78,87.39,87.76,87.76,5406500,Energy
CVX,2019-02-15,88.84,89.02,88.08,88.64,88.64,6209800,Energy
CVX,2019-02-19,88.31,89.02,87.98,88.61,88.61,4277800,Energy
CVX,2019-02-20,88.61,89.66,88.38,89.33,89.33,5940600,Energy
CVX,2019-02-21,89.18,89.36,87.93,88.49,88.49,5139400,Energy
CVX,2019-02-22,89.33,89.47,88.27,88.67,88.67,4517600,Energy
CVX,2019-02-25,88.69,89.44,88.66,88.84,88.84,5196600,Energy
CVX,2019-02-26,88.98,89.85,88.89,89.08,89.08,5445600,Energy
CVX,2019-02-27,89.34,90.08,89.04,89.19,89.19,5289800,Energy
CVX,2019-02-28,89.13,89.24,88.0,88.81,88.81,6406500,Energy
CVX,2019-03-01,89.42,90.64,89.25,90.63,90.63,7743600,Energy
CVX,2019-03-04,91.11,91.23,89.53,90.7,90.7,7499500,Energy
CVX,2019-03-05,90.51,91.61,90.31,91.57,91.57,7345200,Energy
CVX,2019-03-06,91.48,92.62,90.83,91.75,91.75,7599900,Energy
CVX,2019-03-07,91.67,91.73,90.39,90.57,90.57,7201100,Energy
CVX,2019-03-08,89.2,90.56,88.53,90.33,90.33,7014100,Energy
CVX,2019-03-11,91.26,92.24,91.17,91.81,91.81,6088600,Energy
CVX,2019-03-12,91.98,92.81,91.64,92.02,92.02,6184300,Energy
CVX,2019-03-13,92.54,92.79,92.02,92.59,92.59,4707000,Energy
CVX,2019-03-14,92.66,93.18,92.45,92.54,92.54,5146400,Energy
CVX,2019-03-15,92.53,93.15,92.36,93.07,93.07,10449700,Energy
CVX,2019-03-18,93.0,93.68,92.97,93.49,93.49,5586900,Energy
CVX,2019-03-19,94.0,94.27,92.65,93.05,93.05,5096800,Energy
CVX,2019-03-20,92.87,93.83,92.6,92.61,92.61,6708500,Energy
CVX,2019-03-21,92.74,93.55,92.48,93.48,93.48,5050400,Energy
CVX,2019-03-22,92.73,92.76,91.13,91.42,91.42,5786800,Energy
CVX,2019-03-25,91.3,91.61,90.84,91.27,91.27,3837500,Energy
CVX,2019-03-26,91.93,92.77,91.64,92.19,92.19,4079800,Energy
CVX,2019-03-27,92.08,92.45,90.63,91.2,91.2,3727800,Energy
CVX,2019-03-28,91.06,91.47,90.88,91.37,91.37,4057700,Energy
CVX,2019-03-29,92.3,92.45,90.97,91.49,91.49,5318600,Energy
CVX,2019-04-01,92.0,93.04,91.69,92.79,92.79,5506300,Energy
CVX,2019-04-02,92.99,93.17,92.18,92.79,92.79,4362700,Energy
CVX,2019-04-03,93.0,93.1,91.75,92.01,92.01,3595400,Energy
CVX,2019-04-04,92.1,92.71,91.76,92.69,92.69,3715400,Energy
CVX,2019-04-05,93.02,94.06,92.99,93.89,93.89,5551400,Energy
CVX,2019-04-08,94.15,94.58,93.75,94.09,94.09,5483100,Energy
CVX,2019-04-09,93.8,93.8,92.93,93.24,93.24,4143400,Energy
CVX,2019-04-10,93.69,94.01,92.94,93.2,93.2,3970000,Energy
CVX,2019-04-11,93.09,93.77,92.65,93.57,93.57,3248300,Energy
CVX,2019-04-12,90.3,90.61,88.38,88.95,88.95,42693700,Energy
CVX,2019-04-15,89.14,89.88,88.63,89.23,89.23,13369100,Energy
CVX,2019-04-16,89.44,90.11,89.17,89.99,89.99,11942900,Energy
CVX,2019-04-17,90.76,91.01,89.16,89.33,89.33,11898100,Energy
CVX,2019-04-18,89.51,89.73,88.46,89.02,89.02,9546500,Energy
CVX,2019-04-22,89.7,90.62,89.46,90.54,90.54,7946200,Energy
