Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Sector
GS,2019-01-02,139.61,146.34,138.78,146.16,146.16,3999400,Financials
GS,2019-01-03,144.99,145.94,142.98,144.02,144.02,4060200,Financials
GS,2019-01-04,146.97,149.53,145.37,148.72,148.72,3788300,Financials
GS,2019-01-07,148.88,151.08,146.36,149.55,149.55,3152100,Financials
GS,2019-01-08,151.04,151.31,146.9,148.99,148.99,2692700,Financials
GS,2019-01-09,149.61,150.97,148.6,149.93,149.93,3321400,Financials
GS,2019-01-10,149.24,151.29,149.1,149.53,149.53,2808700,Financials
GS,2019-01-11,148.77,150.41,146.49,150.32,150.32,3182700,Financials
GS,2019-01-14,148.27,152.54,147.92,151.84,151.84,3361700,Financials
GS,2019-01-15,151.5,152.92,149.87,152.85,152.85,2911800,Financials
GS,2019-01-16,158.88,168.35,157.69,167.44,167.44,15194200,Financials
GS,2019-01-17,166.48,169.75,163.83,169.15,169.15,8177000,Financials
GS,2019-01-18,170.24,172.47,167.29,172.08,172.08,5650900,Financials
GS,2019-01-22,170.34,171.17,166.45,167.95,167.95,4648500,Financials
GS,2019-01-23,167.84,168.3,165.27,167.29,167.29,3410700,Financials
GS,2019-01-24,166.71,169.65,166.32,168.05,168.05,2631800,Financials
GS,2019-01-25,169.78,170.93,169.43,170.55,170.55,3275000,Financials
GS,2019-01-28,168.21,169.98,167.46,169.68,169.68,2369600,Financials
GS,2019-01-29,169.07,171.59,168.11,170.34,170.34,2694100,Financials
GS,2019-01-30,170.68,172.72,169.62,172.03,172.03,2773300,Financials
GS,2019-01-31,170.01,171.92,167.33,168.23,168.23,5604500,Financials
GS,2019-02-01,168.22,169.61,166.98,166.98,166.98,3174200,Financials
GS,2019-02-04,166.35,168.02,165.49,167.98,167.98,2400200,Financials
GS,2019-02-05,168.32,169.35,167.25,168.23,168.23,2601000,Financials
GS,2019-02-06,167.52,169.12,166.38,167.05,167.05,2063100,Financials
GS,2019-02-07,165.91,166.42,162.32,164.03,164.03,2948800,Financials
GS,2019-02-08,162.89,163.65,159.91,162.84,162.84,2757500,Financials
GS,2019-02-11,163.87,164.24,162.33,162.55,162.55,2056500,Financials
GS,2019-02-12,164.02,166.22,163.97,165.24,165.24,2392900,Financials
GS,2019-02-13,166.45,168.88,165.33,165.41,165.41,2757300,Financials
GS,2019-02-14,163.3,164.93,160.95,163.57,163.57,2865000,Financials
GS,2019-02-15,164.15,168.98,164.06,168.65,168.65,3065400,Financials
GS,2019-02-19,167.08,169.12,166.19,168.79,168.79,2558200,Financials
GS,2019-02-20,168.84,169.33,167.8,168.73,168.73,2266000,Financials
GS,2019-02-21,169.05,169.45,165.71,166.83,166.83,2785900,Financials
GS,2019-02-22,167.03,168.01,165.84,166.52,166.52,2626600,Financials
GS,2019-02-25,168.22,171.19,167.97,168.77,168.77,3032200,Financials
GS,2019-02-26,168.62,170.4,166.99,168.99,168.99,2499800,Financials
GS,2019-02-27,169.33,170.51,168.15,168.99,168.99,1804200,Financials
GS,2019-02-28,168.93,169.24,167.2,167.79,167.79,2964300,Financials
GS,2019-03-01,169.54,171.83,168.41,169.07,169.07,2580500,Financials
GS,2019-03-04,169.59,171.31,165.62,167.18,167.18,2683600,Financials
GS,2019-03-05,167.07,167.35,164.64,167.19,167.19,2338600,Financials
GS,2019-03-06,167.11,168.52,165.94,166.12,166.12,2247500,Financials
GS,2019-03-07,164.75,165.02,162.14,164.44,164.44,3567800,Financials
GS,2019-03-08,162.42,167.0,161.83,166.55,166.55,3162700,Financials
GS,2019-03-11,168.24,169.73,166.96,167.17,167.17,2669000,Financials
GS,2019-03-12,167.19,168.39,166.93,167.73,167.73,1977400,Financials
GS,2019-03-13,168.69,169.69,167.64,168.26,168.26,1904500,Financials
GS,2019-03-14,168.32,169.33,167.79,168.45,168.45,1482300,Financials
GS,2019-03-15,168.18,169.63,167.92,169.12,169.12,2985200,Financials
GS,2019-03-18,169.91,173.89,169.69,172.71,172.71,3354900,Financials
GS,2019-03-19,174.77,176.11,171.27,171.56,171.56,3284900,Financials
GS,2019-03-20,170.89,170.89,165.46,165.76,165.76,5033500,Financials
GS,2019-03-21,164.55,166.81,163.57,165.98,165.98,4031500,Financials
GS,2019-03-22,164.35,165.24,160.18,161.19,161.19,5703100,Financials
GS,2019-03-25,161.5,163.31,159.09,160.81,160.81,3751000,Financials
GS,2019-03-26,162.1,164.13,160.96,162.66,162.66,2910100,Financials
GS,2019-03-27,162.59,163.45,161.0,162.1,162.1,2343800,Financials
GS,2019-03-28,162.71,163.71,161.47,163.08,163.08,2343400,Financials
GS,2019-03-29,164.36,164.73,163.05,163.77,163.77,2632800,Financials
GS,2019-04-01,165.49,168.98,165.16,167.83,167.83,3562600,Financials
GS,2019-04-02,167.4,168.7,166.68,168.47,168.47,2247000,Financials
GS,2019-04-03,169.97,171.54,169.36,171.34,171.34,3227900,Financials
GS,2019-04-04,171.29,174.27,171.03,172.51,172.51,2582300,Financials
GS,2019-04-05,173.49,175.3,172.36,172.64,172.64,2447100,Financials
GS,2019-04-08,172.99,173.7,171.61,172.77,172.77,1891500,Financials
GS,2019-04-09,171.66,171.96,169.63,171.14,171.14,2400900,Financials
GS,2019-04-10,172.14,173.31,170.84,173.15,173.15,1907100,Financials
GS,2019-04-11,174.21,175.26,171.95,173.02,173.02,2802100,Financials
GS,2019-04-12,176.58,179.11,176.04,177.29,177.29,5096600,Financials
GS,2019-04-15,174.11,175.5,170.35,170.53,170.53,6617200,Financials
GS,2019-04-16,170.28,173.11,169.96,172.18,172.18,4852600,Financials
GS,2019-04-17,172.28,177.86,172.12,177.35,177.35,4195300,Financials
GS,2019-04-18,176.65,177.31,175.0,175.65,175.65,2874300,Financials
GS,2019-04-22,174.97,175.37,174.14,174.53,174.53,1591400,Financials
GS,2019-04-23,174.23,175.03,172.94,174.14,174.14,2120900,Financials
GS,2019-04-24,173.17,173.61,170.38,171.07,171.07,4606100,Financials
GS,2019-04-25,170.35,172.79,169.84,171.8,171.8,2075300,Financials
GS,2019-04-26,172.08,173.27,170.88,173.23,173.23,1543100,Financials
GS,2019-04-29,173.59,177.43,173.4,176.51,176.51,2997000,Financials
GS,2019-04-30,176.53,177.42,174.15,175.66,175.66,1833000,Financials
GS,2019-05-01,176.07,177.78,174.04,174.64,174.64,1981800,Financials
GS,2019-05-02,174.39,175.91,173.27,174.86,174.86,1514700,Financials
GS,2019-05-03,175.73,178.07,175.44,177.02,177.02,1897600,Financials
GS,2019-05-06,172.99,176.56,172.07,176.09,176.09,1927800,Financials
GS,2019-05-07,173.46,174.02,171.47,172.85,172.85,2839500,Financials
GS,2019-05-08,171.8,173.34,171.29,171.42,171.42,1817600,Financials
GS,2019-05-09,170.19,172.5,168.82,172.0,172.0,2333400,Financials
GS,2019-05-10,171.44,172.4,169.74,172.36,172.36,2089400,Financials
GS,2019-05-13,168.81,168.81,165.49,166.32,166.32,3605600,Financials
GS,2019-05-14,166.33,169.01,166.26,167.43,167.43,2463300,Financials
GS,2019-05-15,166.03,168.55,164.99,167.54,167.54,2271100,Financials
GS,2019-05-16,167.73,170.61,167.72,169.87,169.87,2008100,Financials
GS,2019-05-17,167.45,169.83,167.45,168.41,168.41,1928300,Financials
GS,2019-05-20,168.12,168.71,166.83,168.25,168.25,2483400,Financials
GS,2019-05-21,169.46,170.03,168.9,169.85,169.85,2327600,Financials
GS,2019-05-22,168.42,169.31,166.73,166.78,166.78,2427200,Financials
GS,2019-05-23,164.64,164.64,161.7,163.76,163.76,3184100,Financials
GS,2019-05-24,164.54,165.55,163.51,164.64,164.64,1637200,Financials
GS,2019-05-28,163.78,164.9,161.56,161.6,161.6,3040000,Financials
GS,2019-05-29,160.87,161.65,158.45,161.14,161.14,2815800,Financials
GS,2019-05-30,161.17,162.27,159.39,160.55,160.55,1919300,Financials
GS,2019-05-31,158.33,158.43,156.22,156.37,156.37,2640100,Financials
GS,2019-06-03,155.69,157.23,154.86,156.97,156.97,2857800,Financials
GS,2019-06-04,159.53,162.8,159.13,162.7,162.7,2420800,Financials
GS,2019-06-05,162.89,162.94,160.24,161.47,161.47,1967800,Financials
GS,2019-06-06,161.14,163.44,160.5,162.64,162.64,1653500,Financials
GS,2019-06-07,162.7,163.33,161.54,162.64,162.64,1838600,Financials
GS,2019-06-10,164.01,168.8,164.01,166.34,166.34,2372000,Financials
GS,2019-06-11,167.35,168.05,165.81,166.86,166.86,1632200,Financials
GS,2019-06-12,165.9,166.28,162.66,163.0,163.0,2059400,Financials
GS,2019-06-13,163.16,164.73,162.87,164.05,164.05,1411400,Financials
GS,2019-06-14,163.91,164.67,162.22,164.23,164.23,1403900,Financials
GS,2019-06-17,164.54,165.57,163.44,163.52,163.52,1155600,Financials
GS,2019-06-18,163.38,168.92,163.38,167.07,167.07,2363000,Financials
GS,2019-06-19,167.39,169.33,166.91,167.64,167.64,2196800,Financials
GS,2019-06-20,169.23,169.82,165.9,167.69,167.69,2749300,Financials
GS,2019-06-21,167.38,169.95,166.21,167.9,167.9,3365500,Financials
GS,2019-06-24,168.4,170.82,167.97,169.22,169.22,2069800,Financials
GS,2019-06-25,169.23,169.25,166.24,168.0,168.0,1828300,Financials
GS,2019-06-26,168.38,169.55,168.05,168.81,168.81,1649900,Financials
GS,2019-06-27,169.29,171.04,168.6,170.79,170.79,2239200,Financials
GS,2019-06-28,174.37,176.38,173.89,175.32,175.32,4854900,Financials
GS,2019-07-01,178.23,179.82,176.29,177.25,177.25,2465700,Financials
GS,2019-07-02,176.0,176.78,174.94,176.5,176.5,1621400,Financials
GS,2019-07-03,177.63,177.72,175.86,176.55,176.55,978800,Financials
GS,2019-07-05,177.25,178.88,176.69,178.14,178.14,1511400,Financials
GS,2019-07-08,176.83,177.59,175.41,176.3,176.3,1853900,Financials
GS,2019-07-09,174.59,178.18,174.41,178.03,178.03,1812100,Financials
GS,2019-07-10,177.53,179.08,176.22,176.49,176.49,1779800,Financials
GS,2019-07-11,176.69,182.16,176.52,181.1,181.1,3691600,Financials
GS,2019-07-12,181.66,183.53,180.62,183.32,183.32,2626000,Financials
GS,2019-07-15,183.47,183.89,179.76,181.3,181.3,2600200,Financials
GS,2019-07-16,184.06,186.23,182.13,184.67,184.67,5283700,Financials
GS,2019-07-17,183.23,184.9,182.65,182.77,182.77,2583500,Financials
GS,2019-07-18,182.27,184.94,181.44,183.82,183.82,2858100,Financials
GS,2019-07-19,183.39,184.89,182.81,182.96,182.96,1822300,Financials
GS,2019-07-22,182.86,184.11,181.92,183.37,183.37,1907100,Financials
GS,2019-07-23,184.19,188.51,184.19,188.02,188.02,3330600,Financials
GS,2019-07-24,187.87,190.3,187.34,190.25,190.25,3180000,Financials
GS,2019-07-25,190.03,190.03,187.0,188.5,188.5,2776700,Financials
GS,2019-07-26,188.9,190.43,188.83,190.35,190.35,2304500,Financials
GS,2019-07-29,189.37,190.34,188.68,188.79,188.79,1372800,Financials
GS,2019-07-30,187.22,190.22,186.22,189.71,189.71,1644600,Financials
GS,2019-07-31,189.58,190.21,187.66,188.62,188.62,1991100,Financials
GS,2019-08-01,187.96,188.47,180.6,181.32,181.32,3070100,Financials
GS,2019-08-02,181.3,181.3,175.93,179.4,179.4,2503000,Financials
GS,2019-08-05,176.36,176.36,171.02,172.81,172.81,2794200,Financials
GS,2019-08-06,174.43,176.58,172.14,176.53,176.53,2349400,Financials
GS,2019-08-07,172.33,176.48,170.56,176.29,176.29,2454200,Financials
GS,2019-08-08,177.52,178.06,174.41,177.37,177.37,2342200,Financials
GS,2019-08-09,176.19,178.49,174.68,177.29,177.29,1790100,Financials
GS,2019-08-12,174.19,174.93,171.79,172.68,172.68,1479300,Financials
GS,2019-08-13,172.67,177.03,171.57,174.9,174.9,2115900,Financials
GS,2019-08-14,171.2,171.3,167.14,167.57,167.57,3025100,Financials
GS,2019-08-15,167.87,168.78,165.99,168.1,168.1,1981900,Financials
GS,2019-08-16,168.83,171.95,168.8,170.88,170.88,1878700,Financials
GS,2019-08-19,174.64,175.19,172.93,173.26,173.26,1646100,Financials
GS,2019-08-20,171.56,173.08,171.12,171.36,171.36,1545600,Financials
GS,2019-08-21,173.72,173.96,171.52,171.96,171.96,1160800,Financials
GS,2019-08-22,173.33,174.33,172.16,173.45,173.45,1275900,Financials
GS,2019-08-23,172.07,172.99,167.25,168.12,168.12,2200500,Financials
GS,2019-08-26,169.89,171.13,169.66,171.08,171.08,1441900,Financials
GS,2019-08-27,171.66,172.11,168.38,169.72,169.72,1513300,Financials
GS,2019-08-28,168.44,172.63,168.16,171.74,171.74,1437800,Financials
GS,2019-08-29,173.62,176.22,173.62,175.42,175.42,1816800,Financials
GS,2019-08-30,176.63,176.94,175.05,175.82,175.82,1529600,Financials
GS,2019-09-03,173.4,173.84,169.5,171.56,171.56,2633600,Financials
GS,2019-09-04,173.74,174.26,172.49,173.94,173.94,1720600,Financials
GS,2019-09-05,176.99,180.15,176.8,178.53,178.53,2237900,Financials
GS,2019-09-06,178.54,179.56,177.25,178.67,178.67,1438800,Financials
GS,2019-09-09,180.4,184.42,179.73,182.78,182.78,2734500,Financials
GS,2019-09-10,184.09,187.19,183.85,185.93,185.93,2615800,Financials
GS,2019-09-11,185.57,186.98,183.97,186.94,186.94,1886300,Financials
GS,2019-09-12,186.57,190.35,185.51,188.61,188.61,2913800,Financials
GS,2019-09-13,190.0,190.99,189.01,189.61,189.61,2722400,Financials
GS,2019-09-16,187.82,189.12,186.52,187.3,187.3,2205500,Financials
GS,2019-09-17,186.07,186.37,183.26,186.17,186.17,2429100,Financials
GS,2019-09-18,185.24,187.88,183.92,187.18,187.18,2474900,Financials
GS,2019-09-19,187.61,187.91,185.44,185.58,185.58,1596200,Financials
GS,2019-09-20,185.09,186.83,184.2,184.3,184.3,5458900,Financials
GS,2019-09-23,183.53,184.62,182.42,184.06,184.06,1485500,Financials
GS,2019-09-24,184.56,184.69,178.31,179.13,179.13,2837600,Financials
GS,2019-09-25,179.31,182.01,178.87,181.1,181.1,1593400,Financials
GS,2019-09-26,180.25,181.05,179.44,179.54,179.54,1685500,Financials
GS,2019-09-27,180.94,181.55,179.43,180.19,180.19,1530900,Financials
GS,2019-09-30,180.82,180.82,178.34,178.68,178.68,1794500,Financials
GS,2019-10-01,178.5,180.54,174.7,174.77,174.77,3156200,Financials
GS,2019-10-02,173.91,174.07,170.38,170.94,170.94,3386800,Financials
GS,2019-10-03,170.39,171.05,167.27,170.07,170.07,2914500,Financials
GS,2019-10-04,169.86,173.51,169.04,173.14,173.14,3021100,Financials
GS,2019-10-07,173.13,174.63,171.99,172.8,172.8,2202200,Financials
GS,2019-10-08,170.38,171.55,168.93,170.18,170.18,2654900,Financials
GS,2019-10-09,170.89,171.57,169.59,169.73,169.73,2443500,Financials
GS,2019-10-10,170.37,173.59,170.33,172.34,172.34,2108000,Financials
GS,2019-10-11,175.66,178.74,175.66,176.49,176.49,3334300,Financials
GS,2019-10-14,175.75,177.77,174.97,177.47,177.47,2286100,Financials
GS,2019-10-15,174.18,179.56,171.25,178.02,178.02,8241900,Financials
GS,2019-10-16,177.77,179.88,177.71,178.85,178.85,3405800,Financials
GS,2019-10-17,179.6,180.15,176.24,178.02,178.02,2876500,Financials
GS,2019-10-18,176.75,179.4,176.75,178.07,178.07,2207000,Financials
GS,2019-10-21,179.93,181.81,179.07,180.43,180.43,1934900,Financials
GS,2019-10-22,180.72,182.5,179.62,180.73,180.73,1868000,Financials
GS,2019-10-23,180.4,182.82,180.21,182.21,182.21,1574500,Financials
GS,2019-10-24,182.46,183.79,180.88,181.98,181.98,1266500,Financials
GS,2019-10-25,181.23,185.75,181.23,184.72,184.72,2602100,Financials
GS,2019-10-28,186.52,188.76,185.98,187.76,187.76,2707800,Financials
GS,2019-10-29,187.3,189.08,186.63,187.66,187.66,2030800,Financials
GS,2019-10-30,187.13,187.15,184.36,186.08,186.08,1584900,Financials
GS,2019-10-31,185.51,185.7,182.21,183.99,183.99,1876200,Financials
GS,2019-11-01,185.61,187.88,185.17,187.45,187.45,2112300,Financials
GS,2019-11-04,189.44,190.29,188.46,189.58,189.58,2538100,Financials
GS,2019-11-05,190.39,191.23,188.38,188.52,188.52,2525100,Financials
GS,2019-11-06,187.98,188.89,186.72,188.33,188.33,1863000,Financials
GS,2019-11-07,190.36,193.81,190.05,192.53,192.53,3748600,Financials
GS,2019-11-08,192.28,192.48,190.64,192.21,192.21,1610800,Financials
GS,2019-11-11,190.47,190.91,188.42,188.86,188.86,2754500,Financials
GS,2019-11-12,188.45,190.65,187.91,190.05,190.05,1891600,Financials
GS,2019-11-13,188.31,189.56,187.12,189.11,189.11,1756000,Financials
GS,2019-11-14,188.65,190.1,188.0,189.2,189.2,1483100,Financials
GS,2019-11-15,189.7,190.64,188.87,189.91,189.91,1693100,Financials
GS,2019-11-18,189.46,189.65,188.01,189.46,189.46,1603400,Financials
GS,2019-11-19,190.18,190.28,188.24,189.73,189.73,1817100,Financials
GS,2019-11-20,188.28,189.24,186.59,187.89,187.89,2177700,Financials
GS,2019-11-21,188.49,189.11,186.95,188.17,188.17,1677700,Financials
GS,2019-11-22,187.97,190.31,187.97,189.94,189.94,1529100,Financials
GS,2019-11-25,190.46,193.1,190.46,192.07,192.07,2181800,Financials
GS,2019-11-26,192.01,192.08,190.65,191.81,191.81,1926300,Financials
GS,2019-11-27,192.67,193.39,191.3,192.24,192.24,1614600,Financials
GS,2019-11-29,191.53,192.5,191.12,191.94,191.94,770400,Financials
GS,2019-12-02,191.61,192.33,188.23,188.72,188.72,2118500,Financials
