Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Sector
JNJ,2019-01-02,105.25,105.46,103.74,104.94,104.94,7631700,Healthcare
JNJ,2019-01-03,105.26,105.37,102.98,103.28,103.28,8654500,Healthcare
JNJ,2019-01-04,104.43,105.68,104.1,105.01,105.01,8831700,Healthcare
JNJ,2019-01-07,104.84,105.44,104.16,104.33,104.33,8404700,Healthcare
JNJ,2019-01-08,105.3,107.2,104.93,106.76,106.76,9351600,Healthcare
JNJ,2019-01-09,106.65,106.99,105.42,105.91,105.91,7403500,Healthcare
JNJ,2019-01-10,104.89,106.7,104.89,106.55,106.55,6224400,Healthcare
JNJ,2019-01-11,105.97,106.66,105.4,106.59,106.59,5300400,Healthcare
JNJ,2019-01-14,105.76,105.94,104.81,105.38,105.38,7374400,Healthcare
JNJ,2019-01-15,105.58,106.37,104.86,106.27,106.27,5194400,Healthcare
JNJ,2019-01-16,106.31,106.31,105.07,105.18,105.18,6264200,Healthcare
JNJ,2019-01-17,104.91,106.4,104.7,106.04,106.04,7632000,Healthcare
JNJ,2019-01-18,106.71,107.76,106.34,107.36,107.36,10593000,Healthcare
JNJ,2019-01-22,105.31,106.38,104.33,105.81,105.81,10568100,Healthcare
JNJ,2019-01-23,105.56,106.22,105.09,105.81,105.81,9267800,Healthcare
JNJ,2019-01-24,105.55,105.72,102.68,104.35,104.35,9917000,Healthcare
JNJ,2019-01-25,105.26,105.52,104.35,105.34,105.34,7585100,Healthcare
JNJ,2019-01-28,104.99,106.09,104.56,105.96,105.96,6927700,Healthcare
JNJ,2019-01-29,105.93,107.18,105.56,107.06,107.06,6669300,Healthcare
JNJ,2019-01-30,107.1,108.59,107.04,108.14,108.14,7299300,Healthcare
JNJ,2019-01-31,108.13,111.05,107.51,109.32,109.32,17298100,Healthcare
JNJ,2019-02-01,110.09,110.64,109.64,110.24,110.24,9575200,Healthcare
JNJ,2019-02-04,110.04,110.2,108.61,109.16,109.16,7759000,Healthcare
JNJ,2019-02-05,109.68,109.98,109.05,109.16,109.16,6449800,Healthcare
JNJ,2019-02-06,109.32,109.72,108.68,109.26,109.26,5066100,Healthcare
JNJ,2019-02-07,108.8,108.96,108.05,108.48,108.48,6085300,Healthcare
JNJ,2019-02-08,108.39,108.81,108.06,108.76,108.76,4436700,Healthcare
JNJ,2019-02-11,108.69,108.98,107.83,108.43,108.43,4962200,Healthcare
JNJ,2019-02-12,108.5,110.32,108.5,110.21,110.21,6262300,Healthcare
JNJ,2019-02-13,110.13,110.88,109.43,110.45,110.45,7902200,Healthcare
JNJ,2019-02-14,110.32,110.75,109.54,110.33,110.33,3910400,Healthcare
JNJ,2019-02-15,111.05,112.06,110.91,112.03,112.03,6665000,Healthcare
JNJ,2019-02-19,111.83,112.03,111.42,111.47,111.47,5935500,Healthcare
JNJ,2019-02-20,111.7,112.32,111.5,112.01,112.01,6089800,Healthcare
JNJ,2019-02-21,110.88,111.55,110.3,111.24,111.24,6665500,Healthcare
JNJ,2019-02-22,111.14,112.25,110.75,112.21,112.21,5223900,Healthcare
JNJ,2019-02-25,112.75,113.69,112.35,112.63,112.63,6846600,Healthcare
JNJ,2019-02-26,112.82,113.25,112.5,112.55,112.55,5106900,Healthcare
JNJ,2019-02-27,112.06,112.67,111.96,112.35,112.35,4378100,Healthcare
JNJ,2019-02-28,112.42,114.07,112.2,112.99,112.99,10133200,Healthcare
JNJ,2019-03-01,113.47,114.62,113.3,114.4,114.4,5641600,Healthcare
JNJ,2019-03-04,114.82,115.28,113.71,114.51,114.51,8377700,Healthcare
JNJ,2019-03-05,114.78,115.06,114.41,114.75,114.75,6568900,Healthcare
JNJ,2019-03-06,115.33,115.48,114.61,115.02,115.02,6236900,Healthcare
JNJ,2019-03-07,114.55,115.04,113.87,114.31,114.31,6100400,Healthcare
JNJ,2019-03-08,114.19,115.19,112.81,114.16,114.16,7046700,Healthcare
JNJ,2019-03-11,114.21,114.97,113.72,114.58,114.58,6150400,Healthcare
JNJ,2019-03-12,114.65,115.77,114.53,115.09,115.09,5552900,Healthcare
JNJ,2019-03-13,115.43,115.64,114.96,115.28,115.28,6446900,Healthcare
JNJ,2019-03-14,114.4,114.78,114.07,114.13,114.13,8493600,Healthcare
JNJ,2019-03-15,114.11,114.33,113.15,113.78,113.78,11922500,Healthcare
JNJ,2019-03-18,113.83,113.93,113.06,113.43,113.43,7369600,Healthcare
JNJ,2019-03-19,113.79,114.79,113.68,114.48,114.48,5882500,Healthcare
JNJ,2019-03-20,114.39,114.54,113.0,113.53,113.53,5475700,Healthcare
JNJ,2019-03-21,113.29,114.76,113.25,114.2,114.2,5765100,Healthcare
JNJ,2019-03-22,113.91,114.44,113.17,113.21,113.21,6528800,Healthcare
JNJ,2019-03-25,113.21,113.3,112.25,112.97,112.97,4500300,Healthcare
JNJ,2019-03-26,113.23,115.16,113.23,114.59,114.59,4758600,Healthcare
JNJ,2019-03-27,114.6,115.34,114.17,114.69,114.69,6764900,Healthcare
JNJ,2019-03-28,114.99,115.32,114.7,114.84,114.84,4602100,Healthcare
JNJ,2019-03-29,115.17,115.67,114.84,115.59,115.59,7168400,Healthcare
JNJ,2019-04-01,115.76,116.01,114.73,114.93,114.93,5885200,Healthcare
JNJ,2019-04-02,114.95,114.95,113.21,113.87,113.87,5517800,Healthcare
JNJ,2019-04-03,114.28,114.31,113.18,113.43,113.43,5947000,Healthcare
JNJ,2019-04-04,113.18,113.3,111.74,112.11,112.11,5844600,Healthcare
JNJ,2019-04-05,112.49,112.94,112.21,112.61,112.61,4759700,Healthcare
JNJ,2019-04-08,112.5,112.88,112.21,112.58,112.58,4329600,Healthcare
JNJ,2019-04-09,112.46,112.68,111.27,112.11,112.11,5210300,Healthcare
JNJ,2019-04-10,112.37,112.57,111.91,112.11,112.11,4194100,Healthcare
JNJ,2019-04-11,112.43,112.61,111.15,111.81,111.81,4485200,Healthcare
JNJ,2019-04-12,111.82,112.75,111.43,112.44,112.44,5756800,Healthcare
JNJ,2019-04-15,112.46,113.11,112.3,112.89,112.89,5380900,Healthcare
JNJ,2019-04-16,114.38,116.35,113.75,114.13,114.13,10745700,Healthcare
JNJ,2019-04-17,114.94,115.89,113.84,114.54,114.54,9543700,Healthcare
JNJ,2019-04-18,115.23,115.97,112.25,113.72,113.72,10485300,Healthcare
JNJ,2019-04-22,113.27,114.52,112.84,113.97,113.97,4666500,Healthcare
JNJ,2019-04-23,113.64,116.47,113.49,115.69,115.69,5790500,Healthcare
JNJ,2019-04-24,115.48,115.88,114.83,115.11,115.11,5676300,Healthcare
JNJ,2019-04-25,114.54,115.58,114.08,115.48,115.48,5218100,Healthcare
JNJ,2019-04-26,115.67,116.2,115.2,116.09,116.09,4613600,Healthcare
JNJ,2019-04-29,116.06,116.12,115.42,115.64,115.64,4275200,Healthcare
JNJ,2019-04-30,115.93,116.97,114.91,116.76,116.76,6003700,Healthcare
JNJ,2019-05-01,116.55,117.71,115.56,117.38,117.38,6656300,Healthcare
JNJ,2019-05-02,117.35,117.55,115.87,116.83,116.83,8835600,Healthcare
JNJ,2019-05-03,116.84,117.5,116.66,117.43,117.43,5281600,Healthcare
JNJ,2019-05-06,115.98,117.62,115.71,117.5,117.5,5818900,Healthcare
JNJ,2019-05-07,116.45,116.91,114.99,115.74,115.74,6606700,Healthcare
JNJ,2019-05-08,115.93,116.53,115.52,115.59,115.59,4667300,Healthcare
JNJ,2019-05-09,114.9,115.21,113.82,114.72,114.72,5604200,Healthcare
JNJ,2019-05-10,114.47,115.15,112.8,114.98,114.98,4771600,Healthcare
JNJ,2019-05-13,113.99,114.16,112.9,113.45,113.45,5560000,Healthcare
JNJ,2019-05-14,113.32,113.98,113.06,113.14,113.14,7179400,Healthcare
JNJ,2019-05-15,113.21,113.69,111.91,113.21,113.21,6429400,Healthcare
JNJ,2019-05-16,113.61,115.1,113.26,114.29,114.29,6857200,Healthcare
JNJ,2019-05-17,113.29,114.97,113.17,114.62,114.62,6915300,Healthcare
JNJ,2019-05-20,114.62,114.91,113.85,114.46,114.46,4771100,Healthcare
JNJ,2019-05-21,115.04,115.41,114.18,114.21,114.21,4859000,Healthcare
JNJ,2019-05-22,114.4,114.9,113.69,114.74,114.74,5456800,Healthcare
JNJ,2019-05-23,114.53,115.64,113.84,115.59,115.59,6951800,Healthcare
JNJ,2019-05-24,116.14,116.14,115.36,115.6,115.6,5473300,Healthcare
JNJ,2019-05-28,115.73,116.97,114.1,114.12,114.12,11919600,Healthcare
JNJ,2019-05-29,113.14,113.14,107.0,109.34,109.34,23247400,Healthcare
JNJ,2019-05-30,109.43,110.58,109.21,109.99,109.99,7360600,Healthcare
JNJ,2019-05-31,109.5,109.9,107.91,109.19,109.19,7811000,Healthcare
JNJ,2019-06-03,109.48,110.23,109.1,109.43,109.43,8434600,Healthcare
JNJ,2019-06-04,110.4,111.82,110.38,111.34,111.34,6648900,Healthcare
JNJ,2019-06-05,112.15,112.51,111.45,111.88,111.88,6860600,Healthcare
JNJ,2019-06-06,112.31,114.61,112.06,113.8,113.8,9115800,Healthcare
JNJ,2019-06-07,114.55,116.22,114.18,115.35,115.35,6533900,Healthcare
JNJ,2019-06-10,115.4,115.85,114.56,115.74,115.74,4994700,Healthcare
JNJ,2019-06-11,116.29,117.11,116.14,116.38,116.38,8230500,Healthcare
JNJ,2019-06-12,116.81,118.98,116.81,117.96,117.96,9216500,Healthcare
JNJ,2019-06-13,117.99,118.18,116.74,117.15,117.15,7500800,Healthcare
JNJ,2019-06-14,117.58,117.8,116.59,116.64,116.64,6548100,Healthcare
JNJ,2019-06-17,116.56,116.76,115.9,116.09,116.09,5562800,Healthcare
JNJ,2019-06-18,117.03,117.33,116.39,116.75,116.75,7122700,Healthcare
JNJ,2019-06-19,116.57,117.37,116.49,116.94,116.94,6393400,Healthcare
JNJ,2019-06-20,117.6,118.56,117.39,118.4,118.4,7335800,Healthcare
JNJ,2019-06-21,117.78,118.58,117.4,118.3,118.3,11272200,Healthcare
JNJ,2019-06-24,118.58,119.64,118.3,119.11,119.11,5894700,Healthcare
JNJ,2019-06-25,119.28,120.71,119.22,120.09,120.09,7517000,Healthcare
JNJ,2019-06-26,119.77,119.77,117.19,118.1,118.1,7674100,Healthcare
JNJ,2019-06-27,118.42,118.64,117.06,117.14,117.14,5233500,Healthcare
JNJ,2019-06-28,117.18,117.48,115.32,115.96,115.96,12792400,Healthcare
JNJ,2019-07-01,116.73,116.78,115.5,116.03,116.03,5872300,Healthcare
JNJ,2019-07-02,115.91,116.59,115.47,116.59,116.59,4501200,Healthcare
JNJ,2019-07-03,117.39,118.38,117.22,118.34,118.34,3436300,Healthcare
JNJ,2019-07-05,118.01,118.11,116.87,117.04,117.04,4652400,Healthcare
JNJ,2019-07-08,116.66,117.46,116.26,117.37,117.37,4078100,Healthcare
JNJ,2019-07-09,117.78,118.62,117.32,117.73,117.73,4217400,Healthcare
JNJ,2019-07-10,118.04,118.22,117.12,117.57,117.57,4874400,Healthcare
JNJ,2019-07-11,117.34,117.57,115.74,116.65,116.65,5817400,Healthcare
JNJ,2019-07-12,116.66,116.66,110.17,111.82,111.82,17780100,Healthcare
JNJ,2019-07-15,112.72,113.53,111.94,112.16,112.16,10038200,Healthcare
JNJ,2019-07-16,110.67,111.42,109.69,110.32,110.32,10214500,Healthcare
JNJ,2019-07-17,110.31,111.22,109.41,109.78,109.78,8862100,Healthcare
JNJ,2019-07-18,110.01,110.32,109.21,109.96,109.96,6203100,Healthcare
JNJ,2019-07-19,110.11,110.22,108.39,108.49,108.49,8340200,Healthcare
JNJ,2019-07-22,108.23,108.36,106.44,107.1,107.1,12624800,Healthcare
JNJ,2019-07-23,107.08,107.78,106.7,107.27,107.27,5803600,Healthcare
JNJ,2019-07-24,107.3,108.06,107.04,108.05,108.05,6838600,Healthcare
JNJ,2019-07-25,108.28,109.51,107.96,109.17,109.17,8897800,Healthcare
JNJ,2019-07-26,109.32,109.32,108.64,108.84,108.84,4894600,Healthcare
JNJ,2019-07-29,109.07,110.99,108.41,110.75,110.75,7832000,Healthcare
JNJ,2019-07-30,110.29,110.31,109.29,109.97,109.97,5509600,Healthcare
JNJ,2019-07-31,109.6,109.9,108.38,108.42,108.42,8559200,Healthcare
JNJ,2019-08-01,108.45,108.85,107.42,108.48,108.48,7870700,Healthcare
JNJ,2019-08-02,108.95,109.46,108.04,109.13,109.13,6574900,Healthcare
JNJ,2019-08-05,108.99,109.45,107.41,108.37,108.37,9480000,Healthcare
JNJ,2019-08-06,108.52,109.25,107.89,108.88,108.88,7880600,Healthcare
JNJ,2019-08-07,107.7,108.99,106.73,108.41,108.41,6771700,Healthcare
JNJ,2019-08-08,109.05,109.86,108.43,109.63,109.63,5260500,Healthcare
JNJ,2019-08-09,109.73,110.53,109.26,109.93,109.93,4677300,Healthcare
JNJ,2019-08-12,109.48,110.48,109.31,109.84,109.84,6852100,Healthcare
JNJ,2019-08-13,110.15,111.65,109.9,111.08,111.08,5013200,Healthcare
JNJ,2019-08-14,110.34,110.35,108.34,108.45,108.45,7736200,Healthcare
JNJ,2019-08-15,108.38,109.13,107.61,108.68,108.68,7251200,Healthcare
JNJ,2019-08-16,109.46,109.63,108.73,109.37,109.37,5858900,Healthcare
JNJ,2019-08-19,110.32,110.37,109.75,110.11,110.11,4958000,Healthcare
JNJ,2019-08-20,109.87,110.45,108.62,108.73,108.73,7302000,Healthcare
JNJ,2019-08-21,109.65,110.24,108.94,109.51,109.51,6912800,Healthcare
JNJ,2019-08-22,109.57,110.01,108.9,109.29,109.29,7213500,Healthcare
JNJ,2019-08-23,109.13,109.28,105.85,106.35,106.35,15714000,Healthcare
JNJ,2019-08-26,106.88,107.44,106.22,107.2,107.2,8889500,Healthcare
JNJ,2019-08-27,108.95,111.06,108.29,108.74,108.74,20183800,Healthcare
JNJ,2019-08-28,107.25,108.1,106.54,107.94,107.94,9878800,Healthcare
JNJ,2019-08-29,108.07,108.37,106.39,107.57,107.57,6749900,Healthcare
JNJ,2019-08-30,107.59,108.29,107.05,107.67,107.67,7371100,Healthcare
JNJ,2019-09-03,107.36,108.19,106.96,107.99,107.99,5710200,Healthcare
JNJ,2019-09-04,108.62,108.7,107.44,108.09,108.09,4807200,Healthcare
JNJ,2019-09-05,108.96,108.96,107.63,107.85,107.85,4754100,Healthcare
JNJ,2019-09-06,108.11,108.4,107.43,107.54,107.54,6758300,Healthcare
JNJ,2019-09-09,107.37,107.5,106.19,106.49,106.49,7684700,Healthcare
JNJ,2019-09-10,106.81,108.67,105.98,108.67,108.67,8239500,Healthcare
JNJ,2019-09-11,108.93,110.12,108.27,110.03,110.03,6203600,Healthcare
JNJ,2019-09-12,110.19,110.53,109.1,109.41,109.41,5250000,Healthcare
JNJ,2019-09-13,110.16,110.36,109.01,109.7,109.7,5369800,Healthcare
JNJ,2019-09-16,109.14,109.68,108.48,108.66,108.66,5101700,Healthcare
JNJ,2019-09-17,108.71,109.47,108.3,108.77,108.77,4976400,Healthcare
JNJ,2019-09-18,108.96,109.52,108.02,109.39,109.39,4373600,Healthcare
JNJ,2019-09-19,108.74,110.04,108.51,109.14,109.14,4730100,Healthcare
JNJ,2019-09-20,109.88,110.72,109.29,110.43,110.43,12053100,Healthcare
JNJ,2019-09-23,109.9,110.77,109.46,110.51,110.51,5183700,Healthcare
JNJ,2019-09-24,110.81,111.38,110.17,110.35,110.35,7102600,Healthcare
JNJ,2019-09-25,110.3,110.36,109.24,109.88,109.88,4522900,Healthcare
JNJ,2019-09-26,109.96,110.14,107.39,108.08,108.08,7545800,Healthcare
JNJ,2019-09-27,107.88,108.54,106.28,107.87,107.87,6006500,Healthcare
JNJ,2019-09-30,108.27,109.28,108.21,108.53,108.53,6552100,Healthcare
JNJ,2019-10-01,109.06,109.72,108.85,109.04,109.04,7673000,Healthcare
JNJ,2019-10-02,111.36,112.99,110.07,110.72,110.72,12051800,Healthcare
JNJ,2019-10-03,110.42,111.03,109.05,110.04,110.04,6997600,Healthcare
JNJ,2019-10-04,110.17,112.17,110.09,112.12,112.12,7233300,Healthcare
JNJ,2019-10-07,111.64,112.25,110.84,111.7,111.7,5427200,Healthcare
JNJ,2019-10-08,111.1,111.78,110.3,110.59,110.59,7870400,Healthcare
JNJ,2019-10-09,110.0,110.09,107.8,108.39,108.39,7787700,Healthcare
JNJ,2019-10-10,108.17,109.15,107.9,108.26,108.26,5119700,Healthcare
JNJ,2019-10-11,110.0,111.24,109.73,110.16,110.16,7161400,Healthcare
JNJ,2019-10-14,110.19,110.19,109.4,109.65,109.65,5700000,Healthcare
JNJ,2019-10-15,111.56,112.61,110.81,111.43,111.43,10008800,Healthcare
JNJ,2019-10-16,113.16,114.57,112.23,113.38,113.38,12434200,Healthcare
JNJ,2019-10-17,114.05,115.33,113.79,114.22,114.22,8434000,Healthcare
JNJ,2019-10-18,111.82,112.73,107.12,107.12,107.12,25868700,Healthcare
JNJ,2019-10-21,107.93,108.77,106.58,107.39,107.39,13823600,Healthcare
JNJ,2019-10-22,108.01,109.5,107.44,108.37,108.37,7613700,Healthcare
JNJ,2019-10-23,108.76,109.45,108.27,108.96,108.96,6693400,Healthcare
JNJ,2019-10-24,109.4,109.53,105.77,106.95,106.95,12111600,Healthcare
JNJ,2019-10-25,107.23,108.29,106.79,107.66,107.66,6947300,Healthcare
JNJ,2019-10-28,107.89,109.05,107.8,108.36,108.36,7876300,Healthcare
JNJ,2019-10-29,108.79,109.02,107.84,108.31,108.31,4506300,Healthcare
JNJ,2019-10-30,111.81,112.01,110.5,111.43,111.43,9627600,Healthcare
JNJ,2019-10-31,111.04,111.43,109.79,110.76,110.76,7686700,Healthcare
JNJ,2019-11-01,110.77,111.56,110.0,110.05,110.05,5541800,Healthcare
JNJ,2019-11-04,110.56,110.68,109.12,109.24,109.24,6140300,Healthcare
JNJ,2019-11-05,109.49,110.28,108.78,109.4,109.4,6257300,Healthcare
JNJ,2019-11-06,109.4,110.29,108.79,109.85,109.85,5450000,Healthcare
JNJ,2019-11-07,110.5,111.04,109.89,110.25,110.25,5873700,Healthcare
JNJ,2019-11-08,110.14,111.6,109.86,111.56,111.56,5003000,Healthcare
JNJ,2019-11-11,110.95,111.16,110.16,110.71,110.71,4371400,Healthcare
JNJ,2019-11-12,110.72,110.8,109.9,110.18,110.18,5228700,Healthcare
JNJ,2019-11-13,109.92,110.3,109.65,110.11,110.11,5885400,Healthcare
JNJ,2019-11-14,109.91,110.19,109.16,109.85,109.85,4217500,Healthcare
JNJ,2019-11-15,110.09,113.21,109.7,113.19,113.19,10495100,Healthcare
JNJ,2019-11-18,112.59,113.82,111.28,113.1,113.1,9291800,Healthcare
JNJ,2019-11-19,113.24,113.4,112.58,113.09,113.09,5192200,Healthcare
JNJ,2019-11-20,113.33,114.36,112.46,114.03,114.03,7594400,Healthcare
JNJ,2019-11-21,114.03,114.79,113.24,114.45,114.45,6424900,Healthcare
JNJ,2019-11-22,114.62,116.28,114.5,115.82,115.82,9235800,Healthcare
JNJ,2019-11-25,115.76,116.26,115.07,115.87,115.87,6111900,Healthcare
JNJ,2019-11-26,115.27,116.0,114.15,115.86,115.86,10636500,Healthcare
JNJ,2019-11-27,115.85,116.77,115.63,116.35,116.35,5523000,Healthcare
JNJ,2019-11-29,116.22,116.79,115.66,116.13,116.13,3278900,Healthcare
JNJ,2019-12-02,116.32,116.43,115.59,116.02,116.02,4717100,Healthcare
JNJ,2019-12-03,115.64,116.09,115.0,115.85,115.85,5741400,Healthcare
JNJ,2019-12-04,116.98,118.03,116.59,117.72,117.72,7257300,Healthcare
JNJ,2019-12-05,117.7,118.04,116.52,117.88,117.88,5472900,Healthcare
JNJ,2019-12-06,117.79,119.58,117.79,118.57,118.57,6640400,Healthcare
JNJ,2019-12-09,118.58,118.93,118.3,118.67,118.67,4241000,Healthcare
JNJ,2019-12-10,118.92,119.09,118.17,118.24,118.24,5310300,Healthcare
JNJ,2019-12-11,119.03,119.92,118.78,119.08,119.08,6631500,Healthcare
JNJ,2019-12-12,119.36,119.99,118.86,119.38,119.38,5012400,Healthcare
JNJ,2019-12-13,119.18,119.77,118.51,119.41,119.41,4257200,Healthcare
JNJ,2019-12-16,119.71,120.65,119.51,119.76,119.76,5353100,Healthcare
JNJ,2019-12-17,120.78,121.67,120.38,121.25,121.25,10722400,Healthcare
JNJ,2019-12-18,121.39,121.52,120.56,120.94,120.94,7849200,Healthcare
JNJ,2019-12-19,121.53,123.21,121.3,122.77,122.77,9414700,Healthcare
JNJ,2019-12-20,124.06,124.87,122.3,123.37,123.37,14532800,Healthcare
JNJ,2019-12-23,123.1,123.96,122.76,123.69,123.69,6558700,Healthcare
JNJ,2019-12-24,123.32,123.32,122.69,123.26,123.26,4238900,Healthcare
JNJ,2019-12-26,123.29,123.47,122.61,123.17,123.17,3019300,Healthcare
JNJ,2019-12-27,123.48,123.78,122.93,123.1,123.1,3432700,Healthcare
JNJ,2019-12-30,123.13,123.48,122.5,122.72,122.72,2923300,Healthcare
JNJ,2019-12-31,122.56,123.32,122.29,123.21,123.21,4435000,Healthcare
JNJ,2020-01-02,123.21,123.33,122.54,123.29,123.29,5777000,Healthcare
JNJ,2020-01-03,121.2,122.78,120.78,121.86,121.86,5752400,Healthcare
JNJ,2020-01-06,121.63,121.8,120.65,121.71,121.71,7731300,Healthcare
JNJ,2020-01-07,121.63,122.85,119.41,122.45,122.45,7382900,Healthcare
JNJ,2020-01-08,122.36,123.3,121.37,122.44,122.44,6605800,Healthcare
JNJ,2020-01-09,123.11,123.34,122.46,122.8,122.8,6112700,Healthcare
JNJ,2020-01-10,123.1,123.47,122.39,122.52,122.52,5042600,Healthcare
JNJ,2020-01-13,122.88,123.14,122.23,123.06,123.06,4593200,Healthcare
JNJ,2020-01-14,122.51,123.83,122.24,123.75,123.75,7037500,Healthcare
JNJ,2020-01-15,123.65,124.5,123.52,124.17,124.17,4960300,Healthcare
JNJ,2020-01-16,124.51,125.71,123.48,125.17,125.17,6476000,Healthcare
JNJ,2020-01-17,125.35,126.2,124.95,125.99,125.99,9083600,Healthcare
JNJ,2020-01-21,125.49,126.84,125.43,126.08,126.08,9543900,Healthcare
JNJ,2020-01-22,123.91,126.0,123.32,125.22,125.22,10305300,Healthcare
JNJ,2020-01-23,125.04,125.66,123.96,125.45,125.45,8671900,Healthcare
JNJ,2020-01-24,125.49,125.81,124.95,125.28,125.28,9051900,Healthcare
JNJ,2020-01-27,124.6,126.24,124.16,125.64,125.64,7587100,Healthcare
JNJ,2020-01-28,125.39,127.18,125.13,126.27,126.27,7336600,Healthcare
