Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Sector
JPM,2019-01-02,78.5,81.63,78.49,81.25,81.25,15670900,Financials
JPM,2019-01-03,81.36,81.56,79.75,80.1,80.1,16286400,Financials
JPM,2019-01-04,81.75,83.25,81.06,83.05,83.05,16935200,Financials
JPM,2019-01-07,82.83,83.69,82.24,83.11,83.11,15430700,Financials
JPM,2019-01-08,83.82,83.98,82.11,82.95,82.95,13578800,Financials
JPM,2019-01-09,83.15,83.71,82.42,82.81,82.81,14230300,Financials
JPM,2019-01-10,82.5,83.08,81.88,82.8,82.8,14376100,Financials
JPM,2019-01-11,82.39,82.62,81.61,82.4,82.4,15439900,Financials
JPM,2019-01-14,81.55,83.6,81.37,83.25,83.25,21258500,Financials
JPM,2019-01-15,81.56,84.52,81.32,83.86,83.86,26504900,Financials
JPM,2019-01-16,84.33,85.32,83.96,84.54,84.54,18533000,Financials
JPM,2019-01-17,84.22,85.37,84.06,84.89,84.89,14247600,Financials
JPM,2019-01-18,85.59,86.52,84.81,86.26,86.26,16428700,Financials
JPM,2019-01-22,85.02,85.44,84.24,84.9,84.9,17083700,Financials
JPM,2019-01-23,85.32,85.53,84.1,84.69,84.69,12146700,Financials
JPM,2019-01-24,84.24,85.03,84.08,84.74,84.74,11296800,Financials
JPM,2019-01-25,85.37,86.03,84.74,85.28,85.28,14369400,Financials
JPM,2019-01-28,84.86,85.98,84.62,85.68,85.68,12283100,Financials
JPM,2019-01-29,85.68,86.69,85.56,85.92,85.92,9743300,Financials
JPM,2019-01-30,85.89,86.8,85.6,86.12,86.12,12526300,Financials
JPM,2019-01-31,85.29,85.61,84.73,85.37,85.37,17520600,Financials
JPM,2019-02-01,85.78,86.48,85.38,85.68,85.68,13000800,Financials
JPM,2019-02-04,85.61,85.98,84.96,85.98,85.98,9871500,Financials
JPM,2019-02-05,86.21,86.23,85.19,85.61,85.61,12763000,Financials
JPM,2019-02-06,85.54,86.29,85.34,85.56,85.56,8745000,Financials
JPM,2019-02-07,85.16,85.37,83.67,84.44,84.44,13177500,Financials
JPM,2019-02-08,84.19,84.41,82.53,83.6,83.6,12892600,Financials
JPM,2019-02-11,83.93,84.14,83.11,83.2,83.2,10978500,Financials
JPM,2019-02-12,84.09,84.89,84.04,84.62,84.62,12852300,Financials
JPM,2019-02-13,84.87,85.65,84.87,85.03,85.03,10754100,Financials
JPM,2019-02-14,84.52,85.04,83.59,84.48,84.48,11518500,Financials
JPM,2019-02-15,85.7,87.18,85.5,87.06,87.06,14716900,Financials
JPM,2019-02-19,86.53,86.91,85.62,86.75,86.75,12764900,Financials
JPM,2019-02-20,86.78,87.26,86.5,87.17,87.17,10030300,Financials
JPM,2019-02-21,86.97,87.42,86.57,86.99,86.99,8400100,Financials
JPM,2019-02-22,87.18,87.5,86.42,86.6,86.6,10647300,Financials
JPM,2019-02-25,87.22,88.48,87.17,87.51,87.51,11230700,Financials
JPM,2019-02-26,86.19,86.99,85.73,86.84,86.84,15465400,Financials
JPM,2019-02-27,86.75,86.92,86.2,86.74,86.74,9968800,Financials
JPM,2019-02-28,86.61,86.78,85.93,86.08,86.08,15156900,Financials
JPM,2019-03-01,86.69,87.35,85.94,86.13,86.13,13813300,Financials
JPM,2019-03-04,86.54,87.36,85.18,85.94,85.94,12466300,Financials
JPM,2019-03-05,85.89,86.23,85.17,85.87,85.87,10856600,Financials
JPM,2019-03-06,85.66,86.25,85.41,85.55,85.55,9070800,Financials
JPM,2019-03-07,85.16,85.34,84.26,84.93,84.93,12705700,Financials
JPM,2019-03-08,84.12,85.14,84.12,84.96,84.96,10582400,Financials
JPM,2019-03-11,85.76,86.23,85.5,86.07,86.07,9763200,Financials
JPM,2019-03-12,86.26,86.43,85.57,85.81,85.81,10219100,Financials
JPM,2019-03-13,85.94,86.59,85.74,86.1,86.1,13022200,Financials
JPM,2019-03-14,86.19,87.32,86.16,86.88,86.88,10926500,Financials
JPM,2019-03-15,86.94,88.09,86.79,87.88,87.88,24811700,Financials
JPM,2019-03-18,87.88,88.9,87.84,88.41,88.41,12935500,Financials
JPM,2019-03-19,89.24,89.41,87.88,88.09,88.09,12889300,Financials
JPM,2019-03-20,87.78,87.96,86.12,86.21,86.21,14920700,Financials
JPM,2019-03-21,85.36,85.36,84.36,84.85,84.85,19751000,Financials
JPM,2019-03-22,83.98,84.39,82.08,82.28,82.28,31115200,Financials
JPM,2019-03-25,82.14,82.95,80.9,81.6,81.6,21032300,Financials
JPM,2019-03-26,82.33,82.81,81.51,82.41,82.41,15987100,Financials
JPM,2019-03-27,82.38,82.85,81.72,82.13,82.13,12753200,Financials
JPM,2019-03-28,82.48,83.14,82.26,83.06,83.06,12454100,Financials
JPM,2019-03-29,83.75,84.12,82.97,83.49,83.49,14523400,Financials
JPM,2019-04-01,84.25,86.34,84.23,86.31,86.31,17499300,Financials
JPM,2019-04-02,86.27,86.97,86.05,86.72,86.72,10295400,Financials
JPM,2019-04-03,87.27,87.72,86.43,86.89,86.89,11499200,Financials
JPM,2019-04-04,86.89,87.87,86.81,87.73,87.73,11952100,Financials
JPM,2019-04-05,87.93,88.19,87.26,87.52,87.52,9933700,Financials
JPM,2019-04-08,87.36,87.81,87.19,87.81,87.81,8056300,Financials
JPM,2019-04-09,87.33,87.43,86.64,87.16,87.16,9092200,Financials
JPM,2019-04-10,87.37,87.86,86.83,87.55,87.55,10882300,Financials
JPM,2019-04-11,87.86,88.7,87.73,88.29,88.29,11183800,Financials
JPM,2019-04-12,90.96,92.96,90.49,92.43,92.43,25834100,Financials
JPM,2019-04-15,92.19,92.25,90.69,91.37,91.37,15163800,Financials
JPM,2019-04-16,91.34,92.58,91.3,92.34,92.34,11583200,Financials
JPM,2019-04-17,92.83,95.29,92.26,95.0,95.0,17791900,Financials
JPM,2019-04-18,95.19,95.54,94.19,94.3,94.3,12501900,Financials
JPM,2019-04-22,93.77,94.69,93.63,94.41,94.41,7975900,Financials
JPM,2019-04-23,93.91,95.05,93.79,94.53,94.53,9193100,Financials
JPM,2019-04-24,94.13,94.87,93.76,94.37,94.37,9245700,Financials
JPM,2019-04-25,93.92,94.87,93.5,94.42,94.42,9311800,Financials
JPM,2019-04-26,94.7,95.23,94.41,95.14,95.14,7889300,Financials
JPM,2019-04-29,95.24,97.37,95.12,96.51,96.51,14242200,Financials
JPM,2019-04-30,96.77,97.01,95.79,96.45,96.45,11389100,Financials
JPM,2019-05-01,96.18,97.24,95.67,95.71,95.71,10412900,Financials
JPM,2019-05-02,95.72,96.23,95.23,95.92,95.92,8613300,Financials
