Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Sector
KO,2019-01-02,37.85,38.07,37.54,37.84,37.84,11603700,Consumer Goods
KO,2019-01-03,37.75,38.2,37.52,37.61,37.61,14714400,Consumer Goods
KO,2019-01-04,37.7,38.36,37.61,38.36,38.36,13013700,Consumer Goods
KO,2019-01-07,38.36,38.5,37.82,37.86,37.86,13135500,Consumer Goods
KO,2019-01-08,38.1,38.36,37.93,38.28,38.28,15420700,Consumer Goods
KO,2019-01-09,37.96,38.12,37.44,37.55,37.55,18032500,Consumer Goods
KO,2019-01-10,37.62,37.97,37.37,37.95,37.95,15976600,Consumer Goods
KO,2019-01-11,38.13,38.19,37.87,38.17,38.17,11088600,Consumer Goods
KO,2019-01-14,38.1,38.22,37.89,38.02,38.02,11514300,Consumer Goods
KO,2019-01-15,37.81,38.38,37.74,38.36,38.36,11342900,Consumer Goods
KO,2019-01-16,38.22,38.28,37.78,37.83,37.83,16907800,Consumer Goods
KO,2019-01-17,37.83,38.01,37.8,37.95,37.95,12044600,Consumer Goods
KO,2019-01-18,38.1,38.45,37.99,38.39,38.39,12760700,Consumer Goods
KO,2019-01-22,38.46,38.53,38.07,38.48,38.48,11700400,Consumer Goods
KO,2019-01-23,38.56,38.94,38.42,38.92,38.92,12058300,Consumer Goods
KO,2019-01-24,38.79,38.79,38.2,38.45,38.45,10272000,Consumer Goods
KO,2019-01-25,38.61,38.73,38.09,38.2,38.2,12066500,Consumer Goods
KO,2019-01-28,38.07,38.14,37.85,38.03,38.03,9966900,Consumer Goods
KO,2019-01-29,38.06,38.41,38.0,38.22,38.22,11998600,Consumer Goods
KO,2019-01-30,38.1,38.62,38.05,38.59,38.59,12952500,Consumer Goods
KO,2019-01-31,38.58,39.33,38.28,38.81,38.81,32181500,Consumer Goods
KO,2019-02-01,39.09,39.33,39.03,39.27,39.27,19130100,Consumer Goods
KO,2019-02-04,39.27,39.87,39.14,39.71,39.71,15105700,Consumer Goods
KO,2019-02-05,39.78,39.89,39.59,39.72,39.72,12651900,Consumer Goods
KO,2019-02-06,39.68,39.8,39.53,39.72,39.72,8689100,Consumer Goods
KO,2019-02-07,39.65,39.88,39.51,39.85,39.85,10047800,Consumer Goods
KO,2019-02-08,39.81,39.91,39.6,39.91,39.91,9813300,Consumer Goods
KO,2019-02-11,39.97,40.22,39.9,40.0,40.0,9369300,Consumer Goods
KO,2019-02-12,40.07,40.16,39.88,40.04,40.04,10983300,Consumer Goods
KO,2019-02-13,40.0,40.27,39.96,40.15,40.15,12748800,Consumer Goods
KO,2019-02-14,37.66,37.87,36.69,36.76,36.76,58905400,Consumer Goods
KO,2019-02-15,37.01,37.3,36.45,36.48,36.48,35701600,Consumer Goods
KO,2019-02-19,36.54,36.76,36.1,36.15,36.15,25511300,Consumer Goods
KO,2019-02-20,36.21,36.48,36.12,36.37,36.37,27464000,Consumer Goods
KO,2019-02-21,36.28,37.02,36.25,36.98,36.98,23121200,Consumer Goods
KO,2019-02-22,36.9,37.05,36.45,36.51,36.51,24728400,Consumer Goods
KO,2019-02-25,36.64,36.74,36.16,36.24,36.24,23774400,Consumer Goods
KO,2019-02-26,36.37,36.4,36.01,36.03,36.03,20463200,Consumer Goods
KO,2019-02-27,35.96,36.3,35.82,36.24,36.24,17827500,Consumer Goods
KO,2019-02-28,36.38,36.78,36.37,36.56,36.56,22533900,Consumer Goods
KO,2019-03-01,36.66,36.8,36.45,36.59,36.59,16291600,Consumer Goods
KO,2019-03-04,36.71,36.83,36.53,36.81,36.81,15973800,Consumer Goods
KO,2019-03-05,36.81,36.85,36.61,36.77,36.77,13062300,Consumer Goods
KO,2019-03-06,36.83,36.92,36.64,36.65,36.65,14232100,Consumer Goods
KO,2019-03-07,36.68,36.71,36.39,36.51,36.51,12084000,Consumer Goods
KO,2019-03-08,36.41,36.49,35.97,36.16,36.16,15579100,Consumer Goods
KO,2019-03-11,36.4,37.28,36.37,37.24,37.24,22126900,Consumer Goods
KO,2019-03-12,37.05,37.29,37.01,37.13,37.13,19348500,Consumer Goods
KO,2019-03-13,37.2,37.37,37.02,37.27,37.27,16222500,Consumer Goods
KO,2019-03-14,37.28,37.5,37.11,37.17,37.17,18504100,Consumer Goods
KO,2019-03-15,37.19,37.33,36.72,36.85,36.85,47254500,Consumer Goods
KO,2019-03-18,36.95,37.15,36.89,36.94,36.94,24006400,Consumer Goods
KO,2019-03-19,37.05,37.16,36.88,37.06,37.06,14987000,Consumer Goods
