Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Sector
PG,2019-01-02,75.71,76.01,74.79,75.92,75.92,9843900,Consumer Goods
PG,2019-01-03,75.63,76.93,75.17,75.38,75.38,9820200,Consumer Goods
PG,2019-01-04,75.55,76.92,75.16,76.92,76.92,10565700,Consumer Goods
PG,2019-01-07,76.44,76.93,76.02,76.61,76.61,9012500,Consumer Goods
PG,2019-01-08,77.1,77.42,76.36,76.9,76.9,9551300,Consumer Goods
PG,2019-01-09,77.09,77.31,75.52,75.64,75.64,15015600,Consumer Goods
PG,2019-01-10,75.59,76.13,75.36,75.82,75.82,11102300,Consumer Goods
PG,2019-01-11,76.24,76.5,75.77,76.32,76.32,7166600,Consumer Goods
PG,2019-01-14,76.1,76.44,75.56,75.81,75.81,7952000,Consumer Goods
PG,2019-01-15,75.81,77.02,75.8,76.52,76.52,7834500,Consumer Goods
PG,2019-01-16,76.3,76.64,75.67,75.99,75.99,7964500,Consumer Goods
PG,2019-01-17,76.04,76.75,75.74,75.98,75.98,8044500,Consumer Goods
PG,2019-01-18,76.59,76.99,76.31,76.63,76.63,9100300,Consumer Goods
PG,2019-01-22,76.61,76.91,74.67,75.81,75.81,13518500,Consumer Goods
PG,2019-01-23,78.95,80.82,78.49,79.5,79.5,22869000,Consumer Goods
PG,2019-01-24,79.04,79.27,78.12,79.05,79.05,12146400,Consumer Goods
PG,2019-01-25,79.15,79.54,78.01,78.46,78.46,10618000,Consumer Goods
PG,2019-01-28,78.23,78.77,77.93,78.39,78.39,9765600,Consumer Goods
PG,2019-01-29,78.62,78.9,78.04,78.41,78.41,9769800,Consumer Goods
PG,2019-01-30,78.47,79.35,78.44,79.23,79.23,7750200,Consumer Goods
PG,2019-01-31,79.16,81.15,78.86,80.87,80.87,16044400,Consumer Goods
PG,2019-02-01,80.77,81.82,80.46,81.7,81.7,12720800,Consumer Goods
PG,2019-02-04,81.49,82.33,81.08,82.17,82.17,11887500,Consumer Goods
PG,2019-02-05,82.14,82.17,81.49,81.68,81.68,9772300,Consumer Goods
PG,2019-02-06,81.52,82.42,81.41,82.08,82.08,8693900,Consumer Goods
PG,2019-02-07,81.75,81.81,80.76,81.43,81.43,8732500,Consumer Goods
PG,2019-02-08,81.32,81.91,81.06,81.91,81.91,7483200,Consumer Goods
PG,2019-02-11,81.72,82.48,81.67,82.38,82.38,8494100,Consumer Goods
PG,2019-02-12,82.47,83.27,82.13,83.21,83.21,11238800,Consumer Goods
PG,2019-02-13,83.23,83.57,83.0,83.19,83.19,11587200,Consumer Goods
PG,2019-02-14,82.74,82.84,82.02,82.53,82.53,7930100,Consumer Goods
PG,2019-02-15,82.95,83.16,82.36,82.55,82.55,12069100,Consumer Goods
PG,2019-02-19,82.62,83.83,82.54,83.82,83.82,10098200,Consumer Goods
PG,2019-02-20,83.64,84.01,82.94,83.22,83.22,8947400,Consumer Goods
PG,2019-02-21,83.07,83.71,82.64,83.64,83.64,7444800,Consumer Goods
PG,2019-02-22,83.57,84.16,83.32,84.04,84.04,7925400,Consumer Goods
PG,2019-02-25,84.13,84.2,83.26,83.47,83.47,7436100,Consumer Goods
PG,2019-02-26,83.69,83.98,83.52,83.68,83.68,7115300,Consumer Goods
PG,2019-02-27,83.27,83.52,82.84,82.91,82.91,6013600,Consumer Goods
PG,2019-02-28,82.91,83.16,82.22,82.61,82.61,10575400,Consumer Goods
PG,2019-03-01,82.66,82.8,82.01,82.52,82.52,7733200,Consumer Goods
PG,2019-03-04,82.63,82.89,82.05,82.88,82.88,6895300,Consumer Goods
PG,2019-03-05,82.91,83.56,82.91,83.06,83.06,6274600,Consumer Goods
PG,2019-03-06,82.87,83.07,82.48,82.93,82.93,4622300,Consumer Goods
PG,2019-03-07,82.96,83.49,82.36,82.61,82.61,8408600,Consumer Goods
PG,2019-03-08,82.84,83.14,81.94,82.49,82.49,5144500,Consumer Goods
PG,2019-03-11,82.81,83.56,82.58,83.47,83.47,7544400,Consumer Goods
PG,2019-03-12,83.64,84.26,83.6,83.87,83.87,7597500,Consumer Goods
PG,2019-03-13,83.82,85.16,83.79,84.81,84.81,9883300,Consumer Goods
PG,2019-03-14,84.61,85.32,84.43,84.93,84.93,8590200,Consumer Goods
PG,2019-03-15,85.3,86.25,85.28,85.87,85.87,30802700,Consumer Goods
PG,2019-03-18,85.55,85.75,84.83,85.09,85.09,8442800,Consumer Goods
PG,2019-03-19,85.43,85.62,84.91,85.42,85.42,7334100,Consumer Goods
PG,2019-03-20,85.28,85.76,84.71,85.27,85.27,7513800,Consumer Goods
PG,2019-03-21,84.9,86.26,84.9,85.91,85.91,8221000,Consumer Goods
