Model,Ticker,Sector,Order,RMSE,MAE,MAPE,R2,Train_Time_Sec
ARIMA,AAPL,Technology,"(2, 1, 2)",2.7483769893386114,2.0358107063351807,1.023726885347054,0.9879090184536583,4.467534065246582
ARIMA,NVDA,Technology,"(3, 1, 2)",3.0677562738203004,2.173868856485705,2.276341105528058,0.992539885525183,4.7199389934539795
ARIMA,JNJ,Healthcare,"(2, 1, 2)",1.396201501938376,1.0507876262212672,0.7132408069455716,0.9467304051250102,4.088950157165527
ARIMA,PFE,Healthcare,"(3, 1, 3)",0.3913325215294452,0.2927628881583557,1.1599270893615696,0.9399550431312675,4.4365904331207275
ARIMA,JPM,Financials,"(3, 1, 2)",2.6917003005596083,1.710235252718982,0.9032744962088038,0.9923645686329331,4.282558441162109
ARIMA,GS,Financials,"(2, 1, 2)",7.272396855602521,4.7024875467988805,1.1002554703660117,0.9926499954630046,4.594808340072632
ARIMA,XOM,Energy,"(0, 1, 1)",1.3404964832526478,1.033819041709022,0.9847026584447497,0.9660904992203362,3.7546536922454834
ARIMA,CVX,Energy,"(2, 1, 2)",1.8542334174673825,1.3497636541506781,0.9487940919939456,0.9300999786822373,4.530681371688843
ARIMA,PG,Consumer Goods,"(3, 1, 2)",1.4790890198916367,1.0735676300551857,0.697690610550495,0.979158221413967,4.0543153285980225
ARIMA,KO,Consumer Goods,"(2, 1, 3)",0.5130455722935835,0.3801251880492573,0.6434225744556074,0.9895052560781147,4.38944149017334
