Ticker,ARIMA,LinearRegression,RandomForest,XGBoost,LSTM,Naive
AAPL,46.10778443113773,91.91616766467065,56.886227544910184,52.09580838323353,43.712574850299404,0.0
NVDA,52.69461077844312,91.61676646706587,50.59880239520959,44.01197604790419,44.01197604790419,0.0
JNJ,46.865671641791046,97.91044776119404,89.8507462686567,82.38805970149254,52.23880597014925,0.0
PFE,49.244712990936556,96.07250755287009,84.89425981873111,87.00906344410876,52.26586102719033,0.0
JPM,56.71641791044776,94.92537313432837,52.23880597014925,51.64179104477612,42.98507462686567,0.0
GS,51.64179104477612,91.94029850746269,62.68656716417911,64.4776119402985,44.47761194029851,0.0
XOM,53.753753753753756,93.3933933933934,63.66366366366366,55.25525525525525,49.849849849849846,0.0
CVX,48.95522388059702,90.44776119402985,87.76119402985074,88.65671641791046,51.34328358208955,0.0
PG,53.153153153153156,96.09609609609609,56.75675675675676,57.35735735735735,48.348348348348345,0.0
KO,49.544072948328264,96.96048632218846,67.78115501519757,65.95744680851064,51.97568389057751,0.0
