Sector,Model,RMSE,MAE,MAPE,R2
Consumer Goods,ARIMA,0.9960672960926102,0.7268464090522214,0.6705565925030512,0.9843317387460409
Consumer Goods,LSTM,5.42060039476908,4.076698206449972,3.469847920294895,0.5252430106490602
Consumer Goods,Linear Regression,0.22163038908929675,0.15804799431269045,0.140354183172717,0.9992355589981059
Consumer Goods,Naive (Prev. Close),0.9834216029663423,0.7179104477611942,0.6633780953405657,0.984750450708233
Consumer Goods,Random Forest,8.177457727561311,5.933535767530329,4.795183410797042,-0.051920661527141754
Consumer Goods,XGBoost,8.215669731643956,5.953433567159206,4.8985416637364745,-0.07214026796645585
Energy,ARIMA,1.5973649503600151,1.19179134792985,0.9667483752193475,0.9480952389512867
Energy,LSTM,3.0349257056377974,2.4902869165383645,2.1176141616209057,0.8080051093657268
Energy,Linear Regression,0.39753373781467877,0.3059722838442973,0.2500693691020588,0.996836712643056
Energy,Naive (Prev. Close),1.5861797109813152,1.183134328358209,0.9607792339827106,0.9489390035512296
Energy,Random Forest,2.8514946622268886,2.0453540837809685,1.789567624089416,0.7717293979103379
Energy,XGBoost,4.858037303971588,3.9249104899950895,3.5046659602631953,0.27541120886297654
Financials,ARIMA,4.982048578081065,3.206361399758931,1.0017649832874078,0.9925072820479689
Financials,LSTM,49.558541541225665,34.293196880107544,10.476254919023791,0.08941961364280335
Financials,Linear Regression,1.4842062363821626,0.9522928388615426,0.29511950381009044,0.9992695208392571
Financials,Naive (Prev. Close),4.9460736794068385,3.1762089552238795,0.9970583469263308,0.9925172077376626
Financials,Random Forest,68.65101339342641,49.25346081945515,14.866727908205567,-0.642065598716284
Financials,XGBoost,67.72909063359415,48.37369941464021,14.665804833853656,-0.6146430392552479
Healthcare,ARIMA,0.8937670117339106,0.6717752571898115,0.9365839481535706,0.9433427241281389
Healthcare,LSTM,1.4697919953118177,0.961604808291705,1.4881249457968373,0.8518617942093811
Healthcare,Linear Regression,0.12892664160837156,0.0980030097979949,0.17245182518319038,0.9981388772099833
Healthcare,Naive (Prev. Close),0.8805289070759159,0.6571044776119399,0.9200666826248847,0.944466091034698
Healthcare,Random Forest,0.42677641019505264,0.2849012833238931,0.47844158584500884,0.9827672454484936
Healthcare,XGBoost,0.41071054475558677,0.3160520096347843,0.44768903036600427,0.9876154647945483
Technology,ARIMA,2.908066631579456,2.104839781410443,1.650033995437556,0.9902244519894208
Technology,LSTM,45.59128299480949,37.55021794781199,31.505889775134797,-1.313070580837283
Technology,Linear Regression,0.801161096302535,0.6027016165255616,0.4746328459204666,0.9992771917222346
Technology,Naive (Prev. Close),2.8888338502434974,2.0839402985074624,1.6401861992645754,0.9904096393593771
Technology,Random Forest,40.89148990107428,30.827308379255275,23.49961951529114,-0.7822710609105484
Technology,XGBoost,52.80039091186073,43.5729179452462,35.733269707964325,-1.9559981502020523
